Date,Title,Expected_OC,Predicted_OC,Expected_OC_perc,Predicted_OC_perc
2012-03-01,CSCO.csv,0.03000100000000216,-0.04868602137802658,0.0015068307383225596,-0.002445304941136443
2012-03-02,CSCO.csv,0.0799999999999983,0.08782759591887745,0.004032258064516043,0.004426794149136969
2012-03-05,CSCO.csv,0.129999999999999,-0.008981071318050149,0.006588950836289863,-0.0004551987490141991
2012-03-06,CSCO.csv,-0.05000000000000071,0.06952795592916408,-0.002573340195573892,0.0035783816741721095
2012-03-07,CSCO.csv,0.08999999999999986,0.06463707668482467,0.004615384615384608,0.003314721881273061
2012-03-08,CSCO.csv,-0.10999999999999943,0.02610378475849109,-0.0056208482370975685,0.0013338673867394528
2012-03-09,CSCO.csv,-0.06999899999999926,0.0472195481925111,-0.003547845919918868,0.002393286781171368
2012-03-12,CSCO.csv,-0.009999999999998007,0.027171912123817383,-0.0005045408678101921,0.0013709340123015837
2012-03-13,CSCO.csv,-0.3199989999999993,0.0420438284326608,-0.016080351758793937,0.002112755197621145
2012-03-14,CSCO.csv,-0.040001000000000175,0.029572108546596393,-0.001984176587301596,0.0014668704636208528
2012-03-15,CSCO.csv,0.14999899999999755,0.0259424652227941,0.007477517820414525,0.0012932435950168339
2012-03-16,CSCO.csv,-0.0200010000000006,0.02384987769186216,-0.0009995502248875863,0.0011918979356252948
2012-03-19,CSCO.csv,-0.19999799999999726,0.017987745962473368,-0.010029989466901094,0.0009020935336198512
2012-03-20,CSCO.csv,-0.5299990000000001,0.016250466283465208,-0.026447054568510257,0.0008109014706868134
2012-03-21,CSCO.csv,0.059998999999997686,0.009452602356611259,0.0029182394415484983,0.00045975694632141074
2012-03-22,CSCO.csv,-0.029998999999996563,0.005503389246856147,-0.0014741523341521652,0.0002704368180273291
2012-03-23,CSCO.csv,-0.1900010000000023,0.00015775729116031346,-0.009341248770894902,7.756012348098006e-06
2012-03-26,CSCO.csv,-0.13999899999999954,-0.0051385318614571,-0.006763236388249427,-0.00024823824218448586
2012-03-27,CSCO.csv,0.01999999999999957,-0.010531860060969695,0.0009555661729574569,-0.0005031944606292257
2012-03-28,CSCO.csv,-0.2299999999999969,-0.016690760497266,-0.011031175059951891,-0.0008005160909959714
2012-03-01,UAL.csv,0.21000100000000188,0.3321210253949025,0.010184335102602656,0.01610674147857231
2012-03-02,UAL.csv,-0.4500010000000039,0.09993782424528252,-0.021961981454368174,0.004877395033932775
2012-03-05,UAL.csv,0.3000010000000017,-0.05261258414899106,0.014443957631198925,-0.002533104677370778
2012-03-06,UAL.csv,0.4600010000000019,0.08682634135474833,0.022615585054080727,0.004268748345857833
2012-03-07,UAL.csv,0.25,0.2134123960465449,0.01247504927769215,0.010649320628604006
2012-03-08,UAL.csv,-0.5899979999999978,0.1975777210612611,-0.030459368587538938,0.010200191577752687
2012-03-09,UAL.csv,0.2299989999999994,0.18001150583425454,0.011471272392582136,0.00897813041458279
2012-03-12,UAL.csv,0.059998999999997686,0.2411926079194767,0.0030487296747966305,0.012255721947127882
2012-03-13,UAL.csv,-0.05999999999999873,0.3070664268870326,-0.0030349013657055505,0.015531938638696645
2012-03-14,UAL.csv,0.3099999999999987,0.3345717817781308,0.01571211353269127,0.016957515548815548
2012-03-15,UAL.csv,-0.7999989999999997,0.36160231358619455,-0.04083711077080141,0.018458515241765932
2012-03-16,UAL.csv,0.4599989999999998,0.4105415738732433,0.02253792258696716,0.020114726794377428
2012-03-19,UAL.csv,-0.6900010000000023,0.4626173428976037,-0.034621224284997615,0.023212109528228983
2012-03-20,UAL.csv,-0.3900010000000016,0.5059756286147301,-0.01890455738752104,0.024526207132376986
2012-03-21,UAL.csv,0.4200010000000027,0.5499024410994151,0.020019113441372863,0.02621079318872331
2012-03-22,UAL.csv,0.8699979999999954,0.600711187492522,0.04180672954381186,0.02886646883032152
2012-03-23,UAL.csv,-0.5499989999999997,0.6537875625817119,-0.027499949999999985,0.032689378129085594
2012-03-26,UAL.csv,-0.3099989999999977,0.7057856827786317,-0.015004791868344516,0.034161940115132225
2012-03-27,UAL.csv,0.010001000000002593,0.7589957941500691,0.00047760265149951974,0.036246215754720784
2012-03-28,UAL.csv,-0.7999989999999997,0.8151841864940133,-0.037932622095779966,0.03865264042171708
2012-03-01,TROW.csv,-0.5400010000000037,-0.08675636266307032,-0.008752041997535846,-0.0014060998582977385
2012-03-02,TROW.csv,0.5,0.04602904053643425,0.008045052033948447,0.0007406120523766718
2012-03-05,TROW.csv,0.20999899999999627,-0.1033848746888472,0.003420736331987825,-0.0016840670528247962
2012-03-06,TROW.csv,0.360001000000004,0.050706375008211464,0.005946498084795274,0.0008375681230697611
2012-03-07,TROW.csv,-0.3600009999999969,0.03606467245852568,-0.0059386507083247705,0.0005949302714195968
2012-03-08,TROW.csv,-0.2700000000000031,0.020556847701318458,-0.004370346461158136,0.00033274276520008463
2012-03-09,TROW.csv,-0.7000010000000074,0.059232735017931325,-0.011216167280884592,0.0009490904505356727
2012-03-12,TROW.csv,0.619999,0.06213955312887213,0.009839692424684729,0.0009861856070662329
2012-03-13,TROW.csv,-1.2299989999999994,0.09864970065511644,-0.019607827195919008,0.0015726080129940447
2012-03-14,TROW.csv,0.20000100000000032,0.10561688745394504,0.003126970030127741,0.0016512959522395401
2012-03-15,TROW.csv,-0.6299969999999888,0.12020184835108788,-0.009831413550829612,0.0018758090605410387
2012-03-16,TROW.csv,0.10000599999999338,0.14533821908980035,0.001541637049099464,0.0022404534047855734
